blog_url	blog_name	blog_topic	blog_departments	department_names
https://100years100women.blog.gov.uk	100 years, 100 women	Celebrating women in public life	https://www.gov.uk/api/organisations/civil-service	civil-service
https://aphascience.blog.gov.uk	APHA science	News and updates from the Animal and Plant Health Agency on science	https://www.gov.uk/api/organisations/animal-and-plant-health-agency	animal-and-plant-health-agency
https://accessibility.blog.gov.uk	Accessibility	This is for everyone: documenting how we're rebuilding inclusive digital services across the UK Government	https://www.gov.uk/api/organisations/government-digital-service	government-digital-service
https://agritech.blog.gov.uk	Agri-Tech Strategy	Updates on the UK Agri-Tech Strategy	https://www.gov.uk/api/organisations/department-for-business-innovation-skills	department-for-business-innovation-skills
https://agritech.blog.gov.uk	Agri-Tech Strategy	Updates on the UK Agri-Tech Strategy	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs	department-for-environment-food-rural-affairs
https://agritech.blog.gov.uk	Agri-Tech Strategy	Updates on the UK Agri-Tech Strategy	https://www.gov.uk/api/organisations/department-for-international-development	department-for-international-development
https://beisdigital.blog.gov.uk	BEIS Digital	News and updates from the digital team at BEIS	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy	department-for-business-energy-and-industrial-strategy
https://coanalysis.blog.gov.uk	Cabinet Office Analysis and Insight Team	News and updates from the team that provides the central hub for analysts and analysis in the Cabinet Office, and also coordinates a number of cross-government programmes, including Wellbeing and Horizon Scanning.	https://www.gov.uk/api/organisations/cabinet-office	cabinet-office
https://charitycommission.blog.gov.uk	Charity Commission	News and updates from the Charity Commission	https://www.gov.uk/api/organisations/charity-commission	charity-commission
https://civilservice.blog.gov.uk	Civil Service	The Civil Service does the practical and administrative work of government. More than half of all civil servants provide services direct to the public.	https://www.gov.uk/api/organisations/civil-service	civil-service
https://faststream.blog.gov.uk	Civil Service Fast Stream	Where will you lead?	https://www.gov.uk/api/organisations/civil-service-fast-stream	civil-service-fast-stream
https://fasttrack.blog.gov.uk	Civil Service Fast Track	Insights into the Civil Service Fast Track	https://www.gov.uk/api/organisations/civil-service-fast-track-apprenticeship	civil-service-fast-track-apprenticeship
https://fasttrack.blog.gov.uk	Civil Service Fast Track	Insights into the Civil Service Fast Track	https://www.gov.uk/api/organisations/civil-service	civil-service
https://civilservicelocal.blog.gov.uk	Civil Service Local	Connect; Citizens; Capability: Inspire; Innovate; Invest	https://www.gov.uk/api/organisations/civil-service	civil-service
https://civilservicelocal.blog.gov.uk	Civil Service Local	Connect; Citizens; Capability: Inspire; Innovate; Invest	https://www.gov.uk/api/organisations/cabinet-office	cabinet-office
https://quarterly.blog.gov.uk	Civil Service Quarterly	Expert guidance for civil servants	https://www.gov.uk/api/organisations/cabinet-office	cabinet-office
https://cspl.blog.gov.uk	Committee on Standards in Public Life	The Committee on Standards in Public Life (CSPL) is an independent advisory non-departmental public body that advises the Prime Minister on ethical standards across the whole of public life in the UK. It monitors and reports on issues relating to the standards of conduct of all public office holders.	https://www.gov.uk/api/organisations/the-committee-on-standards-in-public-life	the-committee-on-standards-in-public-life
https://communityinterestcompanies.blog.gov.uk	Community Interest Companies	Find out news and updates about community interest companies	https://www.gov.uk/api/organisations/office-of-the-regulator-of-community-interest-companies	office-of-the-regulator-of-community-interest-companies
https://companieshouse.blog.gov.uk	Companies House	News and updates from Companies House	https://www.gov.uk/api/organisations/companies-house	companies-house
https://competitionandmarkets.blog.gov.uk	Competition and Markets Authority	News and updates from the Competition and Markets Authority	https://www.gov.uk/api/organisations/competition-and-markets-authority	competition-and-markets-authority
https://connectingtopatients.blog.gov.uk	Connecting to patients and people who use services	Stories and observations from DH staff as they connect with patients, service users and staff as part of DH’s commitment to increase engagement with front line services.	https://www.gov.uk/api/organisations/department-of-health	department-of-health
